Package                                    Size MiB  Build Seconds  Build Time
x11-libs/libXext                                  0              0  -
x11-libs/libXfixes                                0              0  -
x11-libs/libXfont2                                0              0  -
x11-libs/libXft                                   0              0  -
x11-libs/libXi                                    0              0  -
x11-libs/libXinerama                              0              0  -
x11-libs/libxkbfile                               0              0  -
x11-libs/libXmu                                   0              0  -
x11-libs/libXpm                                   0              0  -
x11-libs/libXpresent                              0              0  -
x11-libs/libXrandr                                0              0  -
x11-libs/libXrender                               0              0  -
x11-libs/libXScrnSaver                            0              0  -
x11-libs/libxshmfence                             0              0  -
x11-libs/libXtst                                  0              0  -
x11-libs/libXv                                    0              0  -
x11-libs/libXxf86vm                               0              0  -
x11-libs/xcb-util                                 0              0  -
x11-libs/xcb-util-cursor                          0              0  -
x11-libs/xcb-util-image                           0              0  -
x11-libs/xcb-util-keysyms                         0              0  -
x11-libs/xcb-util-renderutil                      0              0  -
x11-libs/xcb-util-wm                              0              0  -
x11-libs/xtrans                                   0              0  -
x11-misc/imake                                    0              0  -
x11-misc/redshift                                 0              0  -
x11-misc/util-macros                              0              0  -
x11-misc/xbitmaps                                 0              0  -
x11-misc/xclip                                    0              0  -
x11-misc/xdg-utils                                0              0  -
x11-misc/xtrlock                                  0              0  -
x11-themes/hicolor-icon-theme                     0              0  -
x11-themes/sound-theme-freedesktop                0              0  -
x11-wm/dwm                                        0              0  -
