Module                  Size  Used by
nfnetlink              20480  1
ip_tables              36864  0
x_tables               65536  1 ip_tables
nvme                   65536  3
snd                   147456  48 snd_ctl_led,snd_hda_codec_generic,snd_seq,snd_hda_codec_conexant,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_sof,snd_soc_sdca,snd_timer,snd_compress,thinkpad_acpi,snd_soc_core,snd_pcm,snd_rawmidi
ucsi_acpi              12288  0
typec_ucsi             65536  1 ucsi_acpi
nvme_core             241664  4 nvme
soundcore              16384  2 snd_ctl_led,snd
hid_multitouch         36864  0
typec                 118784  1 typec_ucsi
nvme_keyring           20480  1 nvme_core
video                  77824  2 thinkpad_acpi,amdgpu
hid_generic            12288  0
polyval_clmulni        12288  0
ghash_clmulni_intel    12288  0
psmouse               225280  0
platform_profile       20480  1 thinkpad_acpi
thunderbolt           544768  1 typec
ccp                   159744  1 kvm_amd
nvme_auth              28672  1 nvme_core
sparse_keymap          12288  1 thinkpad_acpi
i2c_hid_acpi           12288  0
i2c_hid                40960  1 i2c_hid_acpi
hid                   270336  4 i2c_hid,hid_multitouch,snd_soc_sdca,hid_generic
wmi                    28672  3 video,wmi_bmof,think_lmi
serio_raw              20480  0
btrfs                2174976  1
blake2b_generic        20480  0
xor                    24576  1 btrfs
raid6_pq              126976  1 btrfs
dm_mirror              28672  0
dm_region_hash         24576  1 dm_mirror
dm_log                 20480  2 dm_region_hash,dm_mirror
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     32768  0
parport                73728  3 parport_pc,lp,ppdev
dmi_sysfs              24576  0
autofs4                57344  2
aesni_intel            94208  9
